imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-0.003310691528130176, 3.1184649344748974, 0.11082388387490734]",aruco,"[-0.2837332184066829, -0.05200509373486755, 1.1593774859269195]","[0.0004828422583448025, 3.1109379831893773, 0.1060329189118496]",True,"[-0.0036118977284287923, -0.0013165517087746978, 0.015533648365440689]","[-0.0028702438083625845, -0.0076015732421634875, -0.002734215701533844]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.0691166255636158, -2.9471050274895143, -0.11604416471643803]",aruco,"[-0.28644905361426903, -0.05250964595429745, 1.169439872155545]","[-1.062046566544042, -2.9433269369701915, -0.1451145960733046]",True,"[-0.006327732936014907, -0.001821103928204594, 0.02559603459406623]","[0.019149303711441273, -0.0020386127496631345, 0.0035527554653654583]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.9967594275480554, -2.3847823261347636, -0.10583885760270367]",aruco,"[-0.28712860112170047, -0.052742066722256876, 1.1705417589681253]","[-1.990837684095046, -2.380470582312169, -0.1525039632718126]",True,"[-0.00700728044344634, -0.0020535246961640233, 0.026697921406646508]","[0.02644455313290664, -0.015439161433043335, 0.0008716154918011654]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-2.673973211651046, -1.5476065425991443, -0.08322122513551965]",aruco,"[-0.2860897584676947, -0.05332526134911771, 1.1661808024519607]","[-2.6694934382532103, -1.5555645766978947, -0.09936373226962569]",True,"[-0.005968437789440562, -0.0026367193230248595, 0.02233696489048187]","[0.0046516218291410925, -0.009534432578425303, 0.005620394382283859]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-3.0276000065986053, -0.5371623481705091, -0.05103084541226613]",aruco,"[-0.2828595687826688, -0.05225523386357403, 1.1563761184645287]","[-3.0219868530160765, -0.5319979632487788, -0.043691680936480855]",True,"[-0.002738248104414698, -0.0015666918374811767, 0.01253228090304992]","[0.005640773501524258, 0.00587152789088897, -0.0024067882787802484]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-3.0218815660513467, 0.5295319716958208, -0.013050441458740347]",aruco,"[-0.2854431027370679, -0.05211523077422835, 1.163613749316751]","[-3.024525218100681, 0.531532398164428, -0.02703293153032002]",True,"[-0.005321782058813784, -0.0014266887481354934, 0.019769911755272318]","[-0.004550936310424684, -0.008390261420970612, -0.0013324030171942805]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-2.6597834448111115, 1.5318640124554077, 0.026401036483152954]",aruco,"[-0.2872007142231532, -0.052766195782820546, 1.1728645495581784]","[-2.6566605370117693, 1.5271008013012477, 0.034823285848595585]",True,"[-0.00707939354489906, -0.002077653756727693, 0.029020711996699644]","[0.007068563551402365, 0.002226234701891626, 0.0018302390430164706]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.9816964689878476, 2.3566084190492136, 0.06287247917516989]",aruco,"[-0.28124364795190976, -0.052133193184502574, 1.1483129033831303]","[-1.9775881805904612, 2.34852458997899, 0.0811082980801213]",True,"[-0.0011223272736556322, -0.001444651158409721, 0.004469065821651519]","[0.014563949761522943, 0.0012254280948973614, 0.0015377100892783135]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.061997242592377, 2.908203231938114, 0.09218221367391113]",aruco,"[-0.2848683139536946, -0.05218694847309615, 1.1606126359185858]","[-1.055553879439127, 2.893655620800588, 0.08555154704797754]",True,"[-0.004746993275440481, -0.0014984064470032962, 0.016768798357106984]","[0.001762327486004799, -0.01642076296249508, -0.0012548591946972873]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-0.0033106915281305577, 3.1184649344748974, 0.11082388387490734]",aruco,"[-0.2837332184066829, -0.05200509373486755, 1.1593774859269195]","[0.0004828422583448025, 3.1109379831893773, 0.1060329189118496]",True,"[-0.0036118977284287923, -0.0013165517087746978, 0.015533648365440689]","[-0.002870243808362581, -0.007601573242163479, -0.0027342157015340885]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
