imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2806682067123864, -0.1000874700283782, 1.1393707851882897]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.28332779689735266, -0.10159160183629203, 1.1488658597842378]","[-3.064964023691956, -0.0018784027283266017, -0.048664674787189555]",True,"[-0.002659590184966254, -0.001504131807913825, 0.009495074595948116]","[0.0035255878078330237, -0.01356389756692552, 0.002054442601547855]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2808967758651647, -0.10099511652592136, 1.151835693289752]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.28251176124939154, -0.10234244350578306, 1.154529879761681]","[-3.0709270925636667, -0.01666288842531593, -0.06311246879847389]",True,"[-0.0016149853842268302, -0.0013473269798617016, 0.002694186471928983]","[-0.0028306488071966856, -0.023243453726450345, 0.011269678255182094]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.28112534501794295, -0.1019027630234644, 1.164300601391214]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2800876333191097, -0.10429649891245402, 1.1671698799005525]","[-3.036905690615671, -0.004748083672973044, 0.05048367224953994]",True,"[0.0010377116988332657, -0.002393735888989612, 0.002869278509338491]","[0.03157531350798077, 0.051225046251928634, 0.006565490850732596]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.28135391417072125, -0.10281040952100756, 1.176765509492676]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.28463960172183284, -0.10476610508866471, 1.1902197587691077]","[-3.0657326291587608, -0.00042807007573096074, -0.048214494195572784]",True,"[-0.0032856875511115824, -0.001955695567657151, 0.013454249276431574]","[0.002773399410105749, -0.013228078928579126, 0.001113461028659997]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.28158248332349956, -0.10371805601855072, 1.1892304175941382]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.28493373248237575, -0.10513738803634505, 1.2039510561108915]","[-3.078524139407361, 0.012697217977327287, -0.032918286420519326]",True,"[-0.0033512491588761906, -0.0014193320177943308, 0.014720638516753315]","[-0.009760609914807131, -0.002858438753941585, -0.007153285736583566]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.25435682222855116, -0.10013882098231647, 1.1398495181478778]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2608344825573856, -0.10247752321967896, 1.1730197688792867]","[-3.101827775955952, 0.009921757579338473, -0.026409391852776968]",True,"[-0.006477660328834456, -0.002338702237362489, 0.03317025073140889]","[-0.0330052350676583, 0.0014418279734625245, -0.00535979815676821]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.25458539138132946, -0.10104646747985963, 1.1523144262493399]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.25676618533250967, -0.10259970905475448, 1.1617263365615071]","[-3.0651473863595218, 0.0006680375650732188, -0.04343709247477667]",True,"[-0.0021807939511802044, -0.0015532415748948508, 0.00941191031216726]","[0.003436747664265468, -0.010096139328097834, 0.0005183451526939603]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.25481396053410776, -0.10195411397740267, 1.1647793343508022]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.25455609898311266, -0.10336940821143145, 1.167499987629203]","[-3.057700426420624, -0.0024529361703493186, 0.022071646953924936]",True,"[0.00025786155099510877, -0.00141529423402878, 0.002720653278400764]","[0.01111463140157414, 0.032537960230468, 0.004178668435625645]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.255042529686886, -0.10286176047494583, 1.1772442424522642]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2591775103666586, -0.10555079119011848, 1.1916923093660108]","[-3.0524531184456043, 0.00013527998422255673, -0.05387243614311504]",True,"[-0.004134980679772582, -0.0026890307151726522, 0.01444806691374656]","[0.015959520228670098, -0.017056424222296397, 0.0007268042955742149]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.2552710988396643, -0.10376940697248899, 1.1897091505537263]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2586511044991924, -0.10601884037152115, 1.2019224386331735]","[-3.0544889516708005, 0.005559937415355973, -0.0473799648111721]",True,"[-0.0033800056595280625, -0.0022494333990321635, 0.012213288079447215]","[0.014059205203206524, -0.012660261700660286, -0.002681320824758654]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.22804543774471603, -0.10019017193625473, 1.140328251107466]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2324586854766528, -0.10252503542962073, 1.154659801981496]","[-3.0586544648800262, 0.002459933947801822, -0.05934416313376859]",True,"[-0.00441324773193677, -0.0023348634933659934, 0.014331550874030041]","[0.009671118243071335, -0.020499188171518436, -0.0009752117089113408]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.22827400689749433, -0.10109781843379789, 1.1527931592089282]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.2301855797505178, -0.10376286091071524, 1.1613172276140475]","[-3.0377152602328366, -0.003956437616499771, -0.032857355394280384]",True,"[-0.0019115728530234577, -0.0026650424769173453, 0.008524068405119323]","[0.03096893486312495, -0.003522984370768819, 0.004047696879356449]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.2285025760502726, -0.10200546493134094, 1.1652580673103903]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.22701208453573998, -0.10286741498839833, 1.1676088394906148]","[-3.0676340629314773, -0.005482846863621981, 0.0626127832680584]",True,"[0.0014904915145326214, -0.0008619500570573868, 0.002350772180224503]","[0.0006302023230075656, 0.05882392256115134, 0.007008841518180272]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
13.png,"[-0.22873114520305088, -0.1029131114288841, 1.1777229754118523]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.23306785451849352, -0.1069037305241141, 1.1929444338432593]","[-3.0271267873392196, -0.0014242416516618633, -0.060464317776625955]",True,"[-0.004336709315442638, -0.003990619095230005, 0.015221458431406987]","[0.04114745564676164, -0.021738774864681454, 0.0018150060871263917]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
14.png,"[-0.22895971435582918, -0.10382075792642725, 1.1901878835133144]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.23369700981140004, -0.10778417189551562, 1.2063443414150024]","[-3.024589296914869, -0.0014850747321144637, -0.06087109957866141]",True,"[-0.004737295455570861, -0.003963413969088364, 0.01615645790168796]","[0.043675874592378816, -0.022042194697449908, 0.0018679461725960138]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
15.png,"[-0.20173405326088084, -0.10024152289019289, 1.140806984067054]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.20431487855745745, -0.10207437814687553, 1.1548607401980342]","[-3.068821009872196, -0.0009327339649164634, -0.01507291919544082]",True,"[-0.0025808252965766054, -0.0018328552566826417, 0.014053756130980144]","[2.9924935317189144e-05, 0.008360549815985259, 0.0022021130238698357]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
16.png,"[-0.20196262241365914, -0.10114916938773605, 1.153271892168516]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",aruco,"[-0.20461754209555133, -0.1028471022010776, 1.1674743169792992]","[-3.0675641278302037, -0.0009109961748687164, -0.015088801676695645]",True,"[-0.002654919681892187, -0.0016979328133415461, 0.014202424810783043]","[0.0012867918894199303, 0.008345692290869346, 0.002199112799584125]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
