imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2804084930193548, 0.04905899065748587, 1.1509394175648962]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.2850661456291612, 0.048821702103414605, 1.1687424073522925]","[-3.057262713118398, 0.0014739777944454333, -0.049706554716888625]",True,"[-0.00465765260980644, -0.00023728855407126326, 0.01780298978739636]","[0.012932897743124073, -0.011203161425752114, -0.0033484072944865496]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.28030080339144203, 0.011653665901143861, 1.1482785750636146]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.28320646565356933, 0.010329356606451318, 1.1606015355101351]","[-3.0537420815777985, -0.00155562970085762, -0.03261371009019044]",True,"[-0.0029056622621272954, -0.0013243092946925439, 0.012322960446520481]","[0.016644990841476408, -0.00013115760832022193, -0.0009331850001575156]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2801931137635293, -0.0257516588551982, 1.1456177325623331]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.2836132307164346, -0.026602649442613823, 1.1589879723149614]","[-3.071420926584967, -8.659437184999167e-05, -0.04447450296753848]",True,"[-0.0034201169529052833, -0.0008509905874156225, 0.013370239752628299]","[-0.0011586659499674761, -0.0077057166414420605, -0.0023529961252693513]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.28008542413561655, -0.06315698361154026, 1.1429568900610516]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.2823934261627463, -0.06401989466952918, 1.1531186824135755]","[-3.0821427669702173, -0.0028796721649087553, -0.004141539563903226]",True,"[-0.002308002027129774, -0.0008629110579889132, 0.010161792352523902]","[-0.011616586327395534, 0.018460275886754644, 0.00027898245850605376]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2799777345077038, -0.10056230836788232, 1.14029604755977]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.28249528090079906, -0.10250325364362615, 1.1475072461880107]","[-3.0609600284794176, -0.009560036182471816, -0.040441747136658324]",True,"[-0.00251754639309526, -0.00194094527574383, 0.0072111986282406]","[0.009272547495778116, -0.005380821214616649, 0.004028815123044511]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2540986524822939, 0.04909501714296416, 1.1514977800189006]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.2579340610568128, 0.049129218182967976, 1.1676309725691514]","[-3.074994685597341, -0.00453215565085724, -0.04435499070213172]",True,"[-0.003835408574518917, 3.4201040003817296e-05, 0.016133192550250808]","[-0.004764131830225395, -0.007701359003556418, 0.000500466185969218]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.25399096285438116, 0.011689692386622152, 1.148836937517619]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.25798108896268424, 0.010536805430541266, 1.164005822514616]","[-3.0531838690117077, -0.006147996240465937, -0.058674179516442444]",True,"[-0.0039901261083030715, -0.0011528869560808869, 0.015168884996996868]","[0.016803524340227995, -0.017281636043741902, 0.0014660435077849267]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2538832732264684, -0.02571563236971991, 1.1461760950163375]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.25679109232895325, -0.026750128355547062, 1.1587227681186412]","[-3.071316452920433, -0.006807669815656933, -0.054419361877936834]",True,"[-0.002907819102484832, -0.0010344959858271524, 0.012546673102303618]","[-0.0012573616692194772, -0.014328304306246965, 0.0017869896364305165]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2537755835985557, -0.06312095712606197, 1.1435152525150563]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.25621697429016355, -0.06558838176144899, 1.1520694117583814]","[-3.0437087228543573, -0.003310880524872718, -0.035346110598261725]",True,"[-0.00244139069160787, -0.0024674246353870166, 0.008554159243325143]","[0.026635829865094853, -0.002023810925180582, 0.0002612558460333683]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.25366789397064293, -0.10052628188240403, 1.1408544100137747]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.25534156136192493, -0.10206049477254238, 1.147882666151553]","[-3.064505137567107, -0.007855994019513007, -0.05669222787435718]",True,"[-0.0016736673912819966, -0.001534212890138345, 0.007028256137778355]","[0.005504231187469013, -0.015903447510660335, 0.002495883432019545]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
10.png,"[-0.22778881194523304, 0.04913104362844245, 1.152056142472905]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.2317770791967053, 0.04895586713194411, 1.1671155452393511]","[-3.069590602193704, -0.006483385115783081, -0.07062255939671012]",True,"[-0.0039882672514722495, -0.00017517649649834155, 0.015059402766446128]","[0.00015994016630166058, -0.024878410376105928, 0.0012178696614638443]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
11.png,"[-0.2276811223173203, 0.011725718872100444, 1.1493952999716235]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.23016307011504578, 0.010120747684882036, 1.1626368944810468]","[-3.0427221013112304, -0.003461173972588263, -0.030048400376234057]",True,"[-0.002481947797725481, -0.0016049711872184076, 0.013241594509423305]","[0.027673028723195273, 0.0014417846561688248, 0.0004948345728614043]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
12.png,"[-0.22757343268940755, -0.02567960588424162, 1.146734457470342]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.22862612036158192, -0.027070344344277388, 1.153037039278351]","[-3.055479137347771, -0.012797638939294032, -0.024589414745309016]",True,"[-0.0010526876721743683, -0.001390738460035769, 0.006302581808009133]","[0.014872398014732634, 0.004861888410655892, 0.006581602671681533]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
13.png,"[-0.2274657430614948, -0.06308493064058368, 1.1440736149690607]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.23161857357714188, -0.06576659409199209, 1.1590596082071487]","[-3.0427212015093885, -0.009819173179282131, -0.04918583496870127]",True,"[-0.004152830515647077, -0.0026816634514084114, 0.014985993238088025]","[0.02738638697319053, -0.011260864766138213, 0.004216776827898117]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
14.png,"[-0.22735805343358206, -0.10049025539692574, 1.1414127724677792]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.2289600333570798, -0.10425082080776898, 1.1485435691871855]","[-3.0120545330096298, -0.010712628146460944, -0.02224902308821593]",True,"[-0.0016019799234977261, -0.003760565410843242, 0.007130796719406307]","[0.05833066477703446, 0.006266252837399519, 0.005821447365247638]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
15.png,"[-0.20147897140817217, 0.04916707011392074, 1.1526145049269094]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.2047244032559502, 0.048325032395206344, 1.166609912624797]","[-3.0466078983210663, -0.001353173828310727, -0.061323247059688474]",True,"[-0.0032454318477780353, -0.0008420377187143974, 0.013995407697887652]","[0.02336800831051833, -0.018979164649097387, -0.00166244426787494]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
16.png,"[-0.20137128178025943, 0.011761745357578735, 1.1499536624256281]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.20320335374426218, 0.010746265390083885, 1.1649245909569208]","[-3.057626741585558, -0.005400306274518061, -0.01600834788594057]",True,"[-0.0018320719640027572, -0.0010154799674948495, 0.014970928531292671]","[0.012847398447513092, 0.010647287090236194, 0.0019228069743690865]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
17.png,"[-0.20126359215234668, -0.025643579398763328, 1.1472928199243466]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.20183951482359624, -0.027873868451142213, 1.1538445513152618]","[-3.0364203465404063, -0.01032295712388891, 0.00573527542326008]",True,"[-0.0005759226712495624, -0.002230289052378886, 0.006551731390915139]","[0.03402700860556105, 0.024769614590800126, 0.005912661080685473]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
