imageName,realT,realR,time,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.23089994850186418, -0.05176956924563497, 1.1638580144196644]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.0,apriltag,"[-0.23090251472015313, -0.052273724407778326, 1.164436351382685]","[-3.0602623471082655, 0.0014039294527544092, -0.024345677385837206]",True,"[-2.5662182889518714e-06, -0.0005041551621433535, 0.0005783369630205648]","[0.008539647779112145, 0.0023308043797573602, 0.0005352854284099892]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.23056667096506894, -0.0517702196910515, 1.1638640783704859]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.0666666666666666,apriltag,"[-0.22909275849893032, -0.05389885580632514, 1.1599979042710067]","[-3.0173110892891506, -0.012566377073805323, -0.0029723842708204223]",True,"[0.0014739124661386216, -0.002128636115273641, -0.0038661740994792027]","[0.05148249593822963, 0.01587098790608582, 0.010657136154420318]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.23001120840374353, -0.05177130376674577, 1.1638741849551884]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.1333333333333333,apriltag,"[-0.23022507753556834, -0.0514426991361987, 1.1653336660421996]","[-3.0800158894477394, 0.0018450301234887686, -0.02704083121589005]",True,"[-0.0002138691318248065, 0.0003286046305470691, 0.0014594810870112163]","[-0.011233157154543804, 0.0007085027159238589, 1.4802739948366372e-05]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.22923356081788798, -0.05177282147271772, 1.1638883341737718]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.2,apriltag,"[-0.22992967505155545, -0.050882105712431736, 1.165983442553319]","[-3.0932240632269785, 0.006151061846741714, -0.03828006393454909]",True,"[-0.0006961142336674719, 0.0008907157602859872, 0.0020951083795472947]","[-0.024540931271586488, -0.006366360932502094, -0.0031443019460502776]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.22823372820750223, -0.05177477280896736, 1.163906526026236]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.2666666666666666,apriltag,"[-0.2283497381236835, -0.053468758737197614, 1.1639314315408744]","[-3.0324107452799938, -0.007042060425042308, -0.030955076283222815]",True,"[-0.00011600991618126999, -0.0016939859282302516, 2.4905514638406956e-05]","[0.036269228105501664, -0.0023858626818186648, 0.006175150705764969]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.22701171057258632, -0.05177715777549474, 1.1639287605125814]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.3333333333333333,apriltag,"[-0.22729118581801214, -0.05171680405501638, 1.1646367899691872]","[-3.0729118197518392, 0.003789344354429089, -0.03290583658611787]",True,"[-0.0002794752454258198, 6.035372047836357e-05, 0.0007080294566057521]","[-0.004178158860705291, -0.0031027178371773657, -0.0013274791609329112]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.22556750791314026, -0.05177997637229981, 1.1639550376328076]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.4,apriltag,"[-0.2274528330232191, -0.051440836956730886, 1.1661384155529493]","[-3.0782343669385934, 0.003716057956551741, -0.07863430069036782]",True,"[-0.0018853251100788282, 0.00033913941556892174, 0.0021833779201416714]","[-0.010328901870171174, -0.03273060798247629, -0.0024089527155973954]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.22390112022916403, -0.05178322859938256, 1.163985357386915]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.4666666666666667,apriltag,"[-0.22401796875214158, -0.052205586549454494, 1.1642818846193996]","[-3.061357896794633, 2.7469418892461815e-05, -0.029504034577558364]",True,"[-0.00011684852297755288, -0.000422357950071936, 0.00029652723248463353]","[0.007389832732039533, -0.001060183671639338, 0.0013009220008006383]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.22201254752065763, -0.051786914456742994, 1.1640197197749031]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.5333333333333333,apriltag,"[-0.22219178545055113, -0.05129965956105513, 1.165348145800548]","[-3.082976981723934, 0.0028306652097374587, -0.026979401310539313]",True,"[-0.0001792379298934943, 0.0004872548956878636, 0.0013284260256447578]","[-0.014188362392388323, 0.0007902776035513715, -0.0006476863898244805]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.21990178978762107, -0.05179103394438117, 1.1640581247967723]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",0.6,apriltag,"[-0.22014603172003513, -0.05198275506017908, 1.1645372584210596]","[-3.066494914427851, 0.001208995288851218, -0.032923170472120546]",True,"[-0.0002442419324140688, -0.0001917211157979118, 0.000479133624287309]","[0.00222465942019929, -0.0032234583491989764, 0.0004045629466809767]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
