imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2820388552157448, -0.14797644550079309, 1.2095654824979098]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]",apriltag,"[-0.28156596935634093, -0.14813302636087752, 1.2064588237837262]","[2.1696285760184453, -0.011812374422268209, 0.01911066139575147]",True,"[0.00047288585940385985, -0.0001565808600844376, -0.0031066587141836965]","[0.0026049459652678296, -8.144083223555439e-05, 0.0007606265652588888]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.281665192679071, -0.13173290154345568, 1.1907711692761418]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]",apriltag,"[-0.2815866467544853, -0.13251194994157584, 1.1890674688810363]","[2.406359773603315, -0.010880572142161673, 0.027115996796070137]",True,"[7.854592458567122e-05, -0.0007790483981201524, -0.0017037003951054785]","[0.00666786868357642, -0.004473177855859542, 0.0017697723770045831]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.28136129167788726, -0.11159209538074105, 1.176229019340158]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]",apriltag,"[-0.2813992042163356, -0.11208716060124793, 1.1750673913692735]","[2.6416281653508773, -0.008326052007429635, 0.02910734851867633]",True,"[-3.791253844831477e-05, -0.0004950652205068795, -0.0011616279708845934]","[0.009242614495601986, -0.004018247672621473, 0.0015011492980765374]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2811435355938293, -0.08863982308613455, 1.166723003757103]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]",apriltag,"[-0.280720759038742, -0.08997748205079684, 1.1653314449559853]","[2.8910380326746243, -0.0006007078281094598, 0.021649150271850805]",True,"[0.00042277655508732304, -0.001337658964662286, -0.0013915588011177427]","[0.0258607344335158, 0.0033918741728556578, 0.0038251624737981964]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.28102366371375265, -0.06411344760001259, 1.1627655942875994]","[3.0978030607194094, -0.0036379664728067437, 0.028113748423731818]",apriltag,"[-0.28173567101937436, -0.06466692828945347, 1.1621411358005154]","[3.1026964243714685, -0.005191843025582091, 0.05995413710117356]",True,"[-0.0007120073056217091, -0.0005534806894408884, -0.0006244584870840342]","[0.005325687701663641, -0.020510785387688482, -0.0005015984077340152]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.28100813836173993, -0.03933519217324777, 1.1645701359004854]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]",apriltag,"[-0.2793191136073349, -0.04033066051325842, 1.1601952384357062]","[-2.937077828051459, -0.0044041126861779105, -0.005438216599760178]",True,"[0.0016890247544050219, -0.000995468340010651, -0.004374897464779259]","[0.01542996092642263, 0.014228451365349193, 0.0047142408768574805]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.28109779651353684, -0.015640858969509286, 1.172039345290322]","[-2.719732115021991, -0.0026422414962577025, -0.02530862715314684]",apriltag,"[-0.2803263089544567, -0.015819457093076143, 1.1706171677873005]","[-2.725247186534123, -0.0007245347626079356, -0.013865138125737716]",True,"[0.0007714875590801307, -0.0001785981235668567, -0.0014221775030214268]","[-0.005439066952486425, 0.008354176787359014, 0.00032674690050820565]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.28128780467497266, 0.005692184375139797, 1.1847705554455707]","[-2.4870350034882485, -0.005252655398453432, -0.02344750363467968]",apriltag,"[-0.28110512342760896, 0.005438345933124783, 1.1845223391837392]","[-2.4902295673737957, -0.0006442104435699772, -0.02224949813779948]",True,"[0.00018268124736370295, -0.00025383844201501415, -0.00024821626183157974]","[-0.0031524348809460617, 0.0020068462723507197, -0.003054869332658847]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2815679194568828, 0.023513867972136948, 1.202077423531411]","[-2.254336226005753, -0.007544721001599331, -0.02155221738101618]",apriltag,"[-0.28081549804449596, 0.023201275363168822, 1.200381318678358]","[-2.256817813560733, -0.007716789413228008, -0.01341902756618882]",True,"[0.00075242141238685, -0.00031259260896812635, -0.0016961048530528267]","[-0.0024613333780755847, 0.005835775951634858, 0.002898761280910335]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.28192303979886946, 0.036863420245797085, 1.2230269318096192]","[-2.021636148981584, -0.009555716907794465, -0.01962677042661075]",apriltag,"[-0.28058475867780786, 0.03642857557035359, 1.2195068806672225]","[-2.021672550289751, -0.013821507314485828, -0.012754280796184339]",True,"[0.001338281121061602, -0.0004348446754434965, -0.0035200511423967296]","[-7.202668585578916e-05, 0.0029817060085347313, 0.0060886379383202445]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
