imageName,realT,realR
0.png,"[-0.2820388552157448, -0.14797644550079309, 1.2095654824979098]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]"
1.png,"[-0.281665192679071, -0.13173290154345568, 1.1907711692761418]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]"
2.png,"[-0.28136129167788726, -0.11159209538074105, 1.176229019340158]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]"
3.png,"[-0.2811435355938293, -0.08863982308613455, 1.166723003757103]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]"
4.png,"[-0.28102366371375265, -0.06411344760001259, 1.1627655942875994]","[3.0978030607194094, -0.0036379664728067437, 0.028113748423731818]"
5.png,"[-0.28100813836173993, -0.03933519217324777, 1.1645701359004854]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]"
6.png,"[-0.28109779651353684, -0.015640858969509286, 1.172039345290322]","[-2.719732115021991, -0.0026422414962577025, -0.02530862715314684]"
7.png,"[-0.28128780467497266, 0.005692184375139797, 1.1847705554455707]","[-2.4870350034882485, -0.005252655398453432, -0.02344750363467968]"
8.png,"[-0.2815679194568828, 0.023513867972136948, 1.202077423531411]","[-2.254336226005753, -0.007544721001599331, -0.02155221738101618]"
9.png,"[-0.28192303979886946, 0.036863420245797085, 1.2230269318096192]","[-2.021636148981584, -0.009555716907794465, -0.01962677042661075]"
10.png,"[-0.2264925990832039, -0.1480848530702183, 1.2105761409681515]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]"
11.png,"[-0.22611893654653012, -0.1318413091128809, 1.1917818277463832]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]"
12.png,"[-0.2258150355453464, -0.11170050295016626, 1.1772396778103995]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]"
13.png,"[-0.22559727946128838, -0.08874823065555976, 1.1677336622273446]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]"
14.png,"[-0.2254774075812117, -0.06422185516943779, 1.1637762527578408]","[3.0978030607194094, -0.0036379664728067437, 0.028113748423731818]"
15.png,"[-0.22546188222919905, -0.03944359974267292, 1.1655807943707268]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]"
16.png,"[-0.2255515403809959, -0.015749266538934437, 1.1730500037605636]","[-2.719732115021991, -0.0026422414962577025, -0.02530862715314684]"
17.png,"[-0.2257415485424318, 0.005583776805714646, 1.1857812139158121]","[-2.4870350034882485, -0.005252655398453432, -0.02344750363467968]"
18.png,"[-0.22602166332434193, 0.023405460402711797, 1.2030880820016523]","[-2.254336226005753, -0.007544721001599331, -0.02155221738101618]"
19.png,"[-0.22637678366632855, 0.036755012676371934, 1.2240375902798606]","[-2.021636148981584, -0.009555716907794465, -0.01962677042661075]"
20.png,"[-0.17094634295066297, -0.1481932606396435, 1.2115867994383929]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]"
21.png,"[-0.17057268041398918, -0.1319497166823061, 1.1927924862166248]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]"
22.png,"[-0.17026877941280547, -0.11180891051959146, 1.1782503362806411]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]"
23.png,"[-0.17005102332874744, -0.08885663822498496, 1.168744320697586]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]"
24.png,"[-0.16993115144867077, -0.064330262738863, 1.1647869112280822]","[3.0978030607194094, -0.0036379664728067437, 0.028113748423731818]"
25.png,"[-0.1699156260966581, -0.03955200731209807, 1.1665914528409682]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]"
26.png,"[-0.17000528424845496, -0.015857674108359587, 1.1740606622308052]","[-2.719732115021991, -0.0026422414962577025, -0.02530862715314684]"
27.png,"[-0.17019529240989087, 0.005475369236289496, 1.1867918723860538]","[-2.4870350034882485, -0.005252655398453432, -0.02344750363467968]"
28.png,"[-0.170475407191801, 0.023297052833286647, 1.204098740471894]","[-2.254336226005753, -0.007544721001599331, -0.02155221738101618]"
29.png,"[-0.1708305275337876, 0.036646605106946784, 1.2250482487501022]","[-2.021636148981584, -0.009555716907794465, -0.01962677042661075]"
30.png,"[-0.11540008681812203, -0.1483016682090686, 1.2125974579086343]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]"
31.png,"[-0.11502642428144824, -0.1320581242517312, 1.1938031446868662]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]"
32.png,"[-0.11472252328026453, -0.11191731808901656, 1.1792609947508828]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]"
33.png,"[-0.1145047671962065, -0.08896504579441006, 1.1697549791678274]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]"
34.png,"[-0.11438489531612986, -0.06443867030828809, 1.1657975696983238]","[3.0978030607194094, -0.0036379664728067437, 0.028113748423731818]"
35.png,"[-0.11436936996411717, -0.03966041488152322, 1.1676021113112098]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]"
36.png,"[-0.11445902811591402, -0.015966081677784738, 1.1750713207010466]","[-2.719732115021991, -0.0026422414962577025, -0.02530862715314684]"
37.png,"[-0.11464903627734993, 0.005366961666864345, 1.1878025308562952]","[-2.4870350034882485, -0.005252655398453432, -0.02344750363467968]"
38.png,"[-0.11492915105926008, 0.023188645263861496, 1.2051093989421353]","[-2.254336226005753, -0.007544721001599331, -0.02155221738101618]"
39.png,"[-0.11528427140124667, 0.03653819753752163, 1.2260589072203436]","[-2.021636148981584, -0.009555716907794465, -0.01962677042661075]"
40.png,"[-0.05985383068558112, -0.1484100757784938, 1.213608116378876]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]"
41.png,"[-0.05948016814890733, -0.1321665318211564, 1.1948138031571078]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]"
42.png,"[-0.0591762671477236, -0.11202572565844177, 1.1802716532211242]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]"
43.png,"[-0.0589585110636656, -0.08907345336383526, 1.170765637638069]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]"
44.png,"[-0.05883863918358894, -0.0645470778777133, 1.1668082281685652]","[3.0978030607194094, -0.0036379664728067437, 0.028113748423731818]"
45.png,"[-0.05882311383157625, -0.03976882245094837, 1.1686127697814512]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]"
46.png,"[-0.05891277198337311, -0.01607448924720989, 1.176081979171288]","[-2.719732115021991, -0.0026422414962577025, -0.02530862715314684]"
47.png,"[-0.059102780144809006, 0.005258554097439194, 1.1888131893265368]","[-2.4870350034882485, -0.005252655398453432, -0.02344750363467968]"
48.png,"[-0.05938289492671915, 0.023080237694436345, 1.206120057412377]","[-2.254336226005753, -0.007544721001599331, -0.02155221738101618]"
49.png,"[-0.059738015268705764, 0.03642978996809648, 1.2270695656905852]","[-2.021636148981584, -0.009555716907794465, -0.01962677042661075]"
50.png,"[-0.004307574553040171, -0.1485184833479189, 1.2146187748491175]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]"
51.png,"[-0.003933912016366378, -0.1322749393905815, 1.1958244616273492]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]"
52.png,"[-0.0036300110151826492, -0.11213413322786686, 1.1812823116913655]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]"
53.png,"[-0.003412254931124646, -0.08918186093326036, 1.1717762961083105]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]"
54.png,"[-0.003292383051047988, -0.0646554854471384, 1.1678188866388068]","[3.0978030607194094, -0.0036379664728067437, 0.028113748423731818]"
55.png,"[-0.003276857699035296, -0.03987723002037358, 1.1696234282516929]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]"
56.png,"[-0.003366515850832155, -0.016182896816635095, 1.1770926376415296]","[-2.719732115021991, -0.0026422414962577025, -0.02530862715314684]"
57.png,"[-0.003556524012268053, 0.005150146528013988, 1.1898238477967782]","[-2.4870350034882485, -0.005252655398453432, -0.02344750363467968]"
58.png,"[-0.0038366387941781988, 0.02297183012501114, 1.2071307158826183]","[-2.254336226005753, -0.007544721001599331, -0.02155221738101618]"
59.png,"[-0.004191759136164812, 0.036321382398671276, 1.2280802241608266]","[-2.021636148981584, -0.009555716907794465, -0.01962677042661075]"
60.png,"[0.051238681579500726, -0.1486268909173441, 1.215629433319359]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]"
61.png,"[0.05161234411617451, -0.1323833469600067, 1.1968351200975906]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]"
62.png,"[0.05191624511735824, -0.11224254079729207, 1.1822929701616072]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]"
63.png,"[0.05213400120141625, -0.08929026850268557, 1.172786954578552]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]"
64.png,"[0.052253873081492895, -0.0647638930165636, 1.1688295451090482]","[3.0978030607194094, -0.0036379664728067437, 0.028113748423731818]"
65.png,"[0.052269398433505594, -0.03998563758979873, 1.1706340867219343]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]"
66.png,"[0.052179740281708735, -0.016291304386060246, 1.178103296111771]","[-2.719732115021991, -0.0026422414962577025, -0.02530862715314684]"
67.png,"[0.05198973212027284, 0.005041738958588837, 1.1908345062670196]","[-2.4870350034882485, -0.005252655398453432, -0.02344750363467968]"
68.png,"[0.05170961733836269, 0.022863422555585988, 1.20814137435286]","[-2.254336226005753, -0.007544721001599331, -0.02155221738101618]"
69.png,"[0.051354496996376085, 0.036212974829246125, 1.229090882631068]","[-2.021636148981584, -0.009555716907794465, -0.01962677042661075]"
70.png,"[0.10678493771204162, -0.1487352984867692, 1.2166400917896003]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]"
71.png,"[0.1071586002487154, -0.1324917545294318, 1.1978457785678323]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]"
72.png,"[0.10746250124989912, -0.11235094836671716, 1.1833036286318486]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]"
73.png,"[0.10768025733395714, -0.08939867607211066, 1.1737976130487935]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]"
74.png,"[0.10780012921403381, -0.0648723005859887, 1.1698402035792896]","[3.0978030607194094, -0.0036379664728067437, 0.028113748423731818]"
75.png,"[0.10781565456604647, -0.04009404515922388, 1.1716447451921757]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]"
76.png,"[0.10772599641424963, -0.016399711955485397, 1.1791139545820126]","[-2.719732115021991, -0.0026422414962577025, -0.02530862715314684]"
77.png,"[0.10753598825281371, 0.0049333313891636865, 1.1918451647372612]","[-2.4870350034882485, -0.005252655398453432, -0.02344750363467968]"
78.png,"[0.1072558734709036, 0.022755014986160838, 1.2091520328231014]","[-2.254336226005753, -0.007544721001599331, -0.02155221738101618]"
79.png,"[0.10690075312891698, 0.036104567259820974, 1.2301015411013096]","[-2.021636148981584, -0.009555716907794465, -0.01962677042661075]"
80.png,"[0.16233119384458258, -0.1488437060561944, 1.217650750259842]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]"
81.png,"[0.16270485638125637, -0.132600162098857, 1.1988564370380739]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]"
82.png,"[0.16300875738244008, -0.11245935593614237, 1.1843142871020902]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]"
83.png,"[0.16322651346649808, -0.08950708364153587, 1.1748082715190349]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]"
84.png,"[0.16334638534657475, -0.0649807081554139, 1.1708508620495313]","[3.0978030607194094, -0.0036379664728067437, 0.028113748423731818]"
85.png,"[0.16336191069858746, -0.04020245272864903, 1.1726554036624173]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]"
86.png,"[0.16327225254679056, -0.016508119524910547, 1.180124613052254]","[-2.719732115021991, -0.0026422414962577025, -0.02530862715314684]"
87.png,"[0.16308224438535468, 0.004824923819738536, 1.1928558232075028]","[-2.4870350034882485, -0.005252655398453432, -0.02344750363467968]"
88.png,"[0.16280212960344456, 0.022646607416735687, 1.210162691293343]","[-2.254336226005753, -0.007544721001599331, -0.02155221738101618]"
89.png,"[0.16244700926145794, 0.035996159690395824, 1.231112199571551]","[-2.021636148981584, -0.009555716907794465, -0.01962677042661075]"
90.png,"[0.2178774499771235, -0.1489521136256196, 1.2186614087300833]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]"
91.png,"[0.2182511125137973, -0.1327085696682822, 1.1998670955083153]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]"
92.png,"[0.21855501351498102, -0.11256776350556758, 1.1853249455723316]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]"
93.png,"[0.21877276959903902, -0.08961549121096107, 1.1758189299892765]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]"
94.png,"[0.2188926414791157, -0.06508911572483911, 1.1718615205197729]","[3.0978030607194094, -0.0036379664728067437, 0.028113748423731818]"
95.png,"[0.2189081668311284, -0.04031086029807418, 1.1736660621326587]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]"
