imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-0.003310691528130176, 3.1184649344748974, 0.11082388387490734]",apriltag,"[-0.27966994572595893, -0.05191187776989973, 1.1415414661719852]","[-0.010411727517931676, 3.1154848782534867, 0.14667830443011226]",True,"[0.00045137495229519153, -0.0012233357438068762, -0.0023023713894936293]","[0.02299582820532394, -0.0016286918764686308, 0.004743105830432995]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.0691166255636158, -2.9471050274895143, -0.11604416471643803]",apriltag,"[-0.27937771326373423, -0.051218102734036985, 1.1419848692348973]","[-1.0641096381718758, -2.9389421628354633, -0.12152262267801504]",True,"[0.0007436074145198979, -0.0005295607079441322, -0.0018589683265815005]","[0.006609903308326105, 0.007297868694337268, 0.0015595901467033877]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.9967594275480554, -2.3847823261347636, -0.10583885760270367]",apriltag,"[-0.280368281384776, -0.05143827504871628, 1.1436263888049891]","[-1.994646610237176, -2.3836748262871947, -0.12527129722784727]",True,"[-0.0002469607065218593, -0.0007497330226234264, -0.00021744875648965767]","[0.010558055601238675, -0.006925166228230372, 0.0004499385924861858]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-2.673973211651046, -1.5476065425991443, -0.08322122513551965]",apriltag,"[-0.2821645673506086, -0.05112724409795615, 1.1462716720007518]","[-2.6853716943767547, -1.5548342211527204, -0.12726951787512053]",True,"[-0.0020432466723544485, -0.0004387020718632992, 0.002427834439272969]","[0.0011425441317555335, -0.0318277884415241, -0.0007677122565333603]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-3.0276000065986053, -0.5371623481705091, -0.05103084541226613]",apriltag,"[-0.280616005484827, -0.052632951827284245, 1.14368156217599]","[-2.989077789266583, -0.5407211269448507, -0.07712979378432146]",True,"[-0.000494684806572887, -0.0019444098011913921, -0.00016227538548885256]","[0.03917361988946912, -0.011102095086542457, 0.006750524048956634]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-3.0218815660513467, 0.5295319716958208, -0.013050441458740347]",apriltag,"[-0.28199549979026295, -0.05164605444154957, 1.1460528034208763]","[-3.0056408045926735, 0.5221442679207252, -0.05556898144327068]",True,"[-0.0018741791120088225, -0.0009575124154567183, 0.0022089658593975603]","[0.011708718724769862, -0.03045801297571191, 0.0019723021842217]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-2.6597834448111115, 1.5318640124554077, 0.026401036483152954]",apriltag,"[-0.2796105241701403, -0.05122911129496974, 1.1425182127031017]","[-2.6578350597677973, 1.5276912710891664, 0.039405636126199364]",True,"[0.0005107965081138088, -0.0005405692688768837, -0.0013256248583770613]","[0.007368822594531663, 0.005484941654049701, 0.001997150891085142]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.9816964689878476, 2.3566084190492136, 0.06287247917516989]",apriltag,"[-0.28078887041167894, -0.050081365687976, 1.1438753923815292]","[-1.9803555918599691, 2.359104964228307, 0.021011714486912955]",True,"[-0.0006675497334248104, 0.0006071763381168549, 3.1554820050461174e-05]","[-0.021087530736168824, -0.017046855994720108, -0.002538506485310276]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-1.061997242592377, 2.908203231938114, 0.09218221367391113]",apriltag,"[-0.2778212564573532, -0.0518099886438162, 1.138426586439583]","[-1.0712420639332798, 2.915609508756699, 0.13951930213034494]",True,"[0.0023000642209008992, -0.0011214466177233498, -0.0054172511218957276]","[0.024285876935435848, 0.021373783029574957, 0.004970011605471273]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.2801213206782541, -0.05068854202609285, 1.1438438375614788]","[-0.0033106915281305577, 3.1184649344748974, 0.11082388387490734]",apriltag,"[-0.27966994572595893, -0.05191187776989973, 1.1415414661719852]","[-0.010411727517931676, 3.1154848782534867, 0.14667830443011226]",True,"[0.00045137495229519153, -0.0012233357438068762, -0.0023023713894936293]","[0.022995828205323945, -0.0016286918764686193, 0.004743105830432751]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.22457832398890343, -0.050612486112305344, 1.1450226027421548]","[-0.003310691528130176, 3.1184649344748974, 0.11082388387490734]",apriltag,"[-0.2229917576931952, -0.050300804187200926, 1.1407089503685175]","[0.0031507093388808698, 3.134522742694744, 0.09372298939146102]",True,"[0.0015865662957082194, 0.00031168192510441783, -0.0043136523736373444]","[-0.011235512440515131, 0.015618873423719835, -0.0036979235390933018]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.22457832398890343, -0.050612486112305344, 1.1450226027421548]","[-1.0691166255636158, -2.9471050274895143, -0.11604416471643803]",apriltag,"[-0.23907244453242862, -0.046997190555348456, 1.1417086062427897]","[0.972729146781472, 2.6182570812692907, 0.1588558209715364]",True,"[-0.014494120543525196, 0.003615295556956888, -0.003313996499365146]","[-0.08167794294905069, -0.34013371358308514, -0.028209640914936215]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.22457832398890343, -0.050612486112305344, 1.1450226027421548]","[-1.9967594275480554, -2.3847823261347636, -0.10583885760270367]",apriltag,"[-0.22211903998761112, -0.051438250606035914, 1.1402794157735092]","[-1.9708841336882126, -2.356565007782549, -0.09378959645101098]",True,"[0.0024592840012923056, -0.00082576449373057, -0.0047431869686456185]","[0.01940546140115819, 0.034031847245486344, 0.002536840316485707]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.22457832398890343, -0.050612486112305344, 1.1450226027421548]","[-2.673973211651046, -1.5476065425991443, -0.08322122513551965]",apriltag,"[-0.22354417844951793, -0.05107780623022608, 1.1428833942083387]","[-2.660712882268029, -1.5420987249795923, -0.07150887022850667]",True,"[0.0010341455393854948, -0.0004653201179207339, -0.002139208533816106]","[0.008864294524870567, 0.013594570590373273, 0.0017962784314641317]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
14.png,"[-0.22457832398890343, -0.050612486112305344, 1.1450226027421548]","[-3.0276000065986053, -0.5371623481705091, -0.05103084541226613]",apriltag,"[-0.22410957294724004, -0.051550402748560716, 1.1430809968358944]","[-3.0077931288808073, -0.5352760310437781, -0.05246992267616517]",True,"[0.00046875104166338444, -0.0009379166362553717, -0.0019416059062604685]","[0.019688536680689907, 0.002284308792683499, 0.001337785374515583]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
