imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2795563931804707, -0.09914229454045903, 1.1203509721721991]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.27799631916487705, -0.09975327411565588, 1.1158107004320703]","[-3.0554162844603345, -0.00785292645657565, -0.012463020068935664]",True,"[0.0015600740155936599, -0.0006109795751968461, -0.004540271740128832]","[0.015049241186270951, 0.012901571362867096, 0.0036337163431932624]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2798197315099914, -0.10002980318259863, 1.1328166442894312]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.27847439354592707, -0.1004427793875222, 1.1288779314747532]","[-3.0567523058621595, -0.004371367600585671, -0.01686049127675356]",True,"[0.0013453379640643304, -0.00041297620492357356, -0.003938712814677947]","[0.013726599475773666, 0.010112209292834377, 0.0012409651394414262]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.28008306983951203, -0.10091731182473823, 1.145282316406663]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.28074400981486347, -0.10278945437435942, 1.1454834254404291]","[-3.038118137518514, -0.01759723102766115, -0.05072061971959016]",True,"[-0.0006609399753514378, -0.001872142549621189, 0.00020110903376613365]","[0.03187677214549394, -0.012493713642698856, 0.009346074431200764]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.2803464081690327, -0.10180482046687772, 1.1577479885238948]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.279780464914347, -0.10199103635281472, 1.1554155376081134]","[-3.0755034113917255, 0.0023283018133374873, -0.029417496275792317]",True,"[0.0005659432546857301, -0.0001862158859369939, -0.002332450915781381]","[-0.005058505672963168, 0.0021624046891816316, -0.0036142214557766126]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.2806097464985534, -0.10269232910901732, 1.1702136606411266]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.2804786586084077, -0.1027604329899654, 1.1687993546888515]","[-3.075730531548232, 0.002862875602505715, -0.03636825925326826]",True,"[0.0001310878901457091, -6.810388094807829e-05, -0.0014143059522750967]","[-0.0053501910966918505, -0.0023381114214642788, -0.004124742063520431]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.25324655264340984, -0.09910626805498074, 1.1209093346262038]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.2530277275103245, -0.10087772564613014, 1.1195549716864739]","[-3.0361980901031447, -0.007691086423124131, -0.03184525403714825]",True,"[0.00021882513308535412, -0.0017714575911493974, -0.0013543629397299028]","[0.03414271573280741, 0.00012596128837519317, 0.0033055136666748433]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.25350989097293053, -0.09999377669712034, 1.1333750067434356]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.25186942207193347, -0.1014702083876734, 1.1289630189474902]","[-3.0314653895815638, -0.015260083219026822, -0.007831365938365266]",True,"[0.0016404689009970608, -0.0014764316905530595, -0.004411987795945427]","[0.03893129205706976, 0.015730255784621127, 0.008908254937673952]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.25377322930245116, -0.10088128533925983, 1.1458406788606674]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.2513524357269591, -0.10212163877092241, 1.140259334095426]","[-3.034681088662407, -0.02024098007543977, 0.01048756658264626]",True,"[0.002420793575492075, -0.0012403534316625803, -0.005581344765241525]","[0.03563301455033428, 0.027665959102401952, 0.012568253640109498]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.25403656763197185, -0.10176879398139943, 1.1583063509778992]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.26552196609991985, -0.10154239078061036, 1.1666032216935676]","[-3.0844715085806866, 0.018301418663467534, -0.36337225222847647]",True,"[-0.011485398467947994, 0.00022640320078906595, 0.008296870715668314]","[-0.034510748631661564, -0.21274499808006855, -0.021855236120691478]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.25429990596149255, -0.10265630262353903, 1.1707720230951313]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.25389792944364187, -0.10279011414846738, 1.169229224704957]","[-3.0741188658998273, 0.000741660972824751, -0.028323228628399956]",True,"[0.00040197651785067734, -0.00013381152492834836, -0.0015427983901743492]","[-0.0036749378366401084, 0.0028296251764778776, -0.0025441784187837666]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
10.png,"[-0.22693671210634897, -0.09907024156950245, 1.1214676970802082]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.22623058343106084, -0.09913230452983712, 1.1197756192315853]","[-3.074863360190847, 0.0017364658892497073, -0.01889140925225647]",True,"[0.0007061286752881313, -6.206296033467451e-05, -0.0016920778486229082]","[-0.004348699307467, 0.00898351294611707, -0.0029796336326751013]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
11.png,"[-0.22720005043586966, -0.09995775021164205, 1.13393336919744]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.2262370619572167, -0.09952517452249465, 1.1308638128752917]","[-3.0794350950790466, -0.002468720010008742, -0.019904867075743075]",True,"[0.0009629884786529486, 0.0004325756891473964, -0.003069556322148337]","[-0.008955040990317508, 0.008243096461624294, -0.00032144508992134853]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
12.png,"[-0.22746338876539035, -0.10084525885378165, 1.1463990413146719]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.22681765568670548, -0.10111751116943041, 1.14455835699383]","[-3.0617969460833456, -0.0018008801559123077, -0.020717209691736772]",True,"[0.0006457330786848736, -0.00027225231564875774, -0.0018406843208418344]","[0.00868214578786243, 0.007670170418274196, -0.0005825612172990246]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
13.png,"[-0.22772672709491104, -0.10173276749592114, 1.158864713431904]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.24150912676607647, -0.10035988642716857, 1.1618203005331043]","[-3.0790597632004792, 0.024463009887250198, -0.4900670133736717]",True,"[-0.01378239967116543, 0.0013728810687525655, 0.002955587101200363]","[-0.046144853015275565, -0.2937345810657776, -0.02879482319028133]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
14.png,"[-0.22799006542443173, -0.10262027613806074, 1.1713303855491357]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.22850890278346345, -0.1045206132918233, 1.169922857268808]","[-3.035119769003835, -0.011621527626612095, -0.058897349629950475]",True,"[-0.0005188373590317152, -0.0019003371537625602, -0.0014075282803276412]","[0.03480583420774774, -0.017759188510851346, 0.0052658790540549855]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
15.png,"[-0.2006268715692881, -0.09903421508402416, 1.1220260595342126]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.20053761475409487, -0.09847763231504407, 1.1201378761065273]","[-3.0899593957583766, 0.007014705706076769, -0.04050474537416351]",True,"[8.925681519322826e-05, 0.0005565827689800878, -0.0018881834276853748]","[-0.019603041236905334, -0.004824351350261056, -0.007043794416459278]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
16.png,"[-0.2008902098988088, -0.09992172372616376, 1.1344917316514445]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.2002240645833246, -0.0988725549866919, 1.131059160159478]","[-3.094485479924086, 0.0070714593152990625, -0.030832381330996736]",True,"[0.0006661453154842012, 0.0010491687394718618, -0.0034325714919665185]","[-0.024026032329184592, 0.0014550397168221008, -0.006897922749122997]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
17.png,"[-0.20115354822832948, -0.10080923236830325, 1.1469574037686765]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.20100040127969612, -0.09982082284416821, 1.1442019365111704]","[-3.0900817249692514, 0.00523382188844112, -0.04400315209416293]",True,"[0.0001531469486333592, 0.0009884095241350366, -0.0027554672575060835]","[-0.019778439330126015, -0.007126155963396511, -0.00597425315504312]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
18.png,"[-0.20141688655785017, -0.10169674101044285, 1.1594230758859083]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.1983825804747875, -0.10230866031895185, 1.1550649208400499]","[-3.050065681151808, -0.010276320690070078, 0.046701543471997176]",True,"[0.0030343060830626822, -0.0006119193085089986, -0.004358155045858458]","[0.02001230384765723, 0.05156342709739275, 0.006657672797203176]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
19.png,"[-0.20168022488737086, -0.10258424965258245, 1.1718887480031401]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.21286217506953956, -0.09961603507908208, 1.1709783282770971]","[3.1068037620845406, -0.027229721822406305, 0.43210207508131737]",True,"[-0.011181950182168693, 0.002968214573500369, -0.0009104197260429991]","[-0.07485553239308713, -0.254501336007796, -0.02937240699508336]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
20.png,"[-0.1743170310322273, -0.09899818859854587, 1.122584421988217]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.18402571600225087, -0.09670519117408682, 1.1226936153777067]","[-3.109801187072325, 0.021378380608642642, -0.3748512159361737]",True,"[-0.009708684970023584, 0.0022929974244590423, 0.00010919338948967017]","[-0.061046258799687, -0.21814485220414628, -0.024201469713347676]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
21.png,"[-0.17458036936174798, -0.09988569724068547, 1.1350500941054489]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.1711058505528391, -0.10202205554363694, 1.1270868095118256]","[-3.0122995814009643, -0.009646138098734214, 0.048337893826541745]",True,"[0.0034745188089088663, -0.0021363583029514743, -0.007963284593623277]","[0.0577552833106908, 0.05303436931534367, 0.006770327090952765]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
22.png,"[-0.1748437076912686, -0.10077320588282507, 1.147515766222681]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.17783689607173628, -0.10479231568764213, 1.144872052194558]","[-2.9735526540491306, -0.009633183076825693, -0.145030302987402]",True,"[-0.002993188380467665, -0.004019109804817067, -0.002643714028123023]","[0.09358034252938668, -0.07607496630527999, 0.0026243532019071944]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
23.png,"[-0.1751070460207893, -0.10166071452496456, 1.159981438339913]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.17122919490707655, -0.09979003300828165, 1.151508563075049]","[-3.0963530811512356, -0.0036961595938540233, 0.05669746954829458]",True,"[0.003877851113712749, 0.0018706815166829038, -0.008472875264863955]","[-0.026382017308720744, 0.057702106693035285, 0.00203724348968179]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
24.png,"[-0.17537038435031, -0.10254822316710416, 1.1724471104571448]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.18542461780307676, -0.10880202359985693, 1.1705127674138551]","[-2.909801148315014, -0.008814158032289165, -0.36949312496394787]",True,"[-0.010054233452766764, -0.006253800432752768, -0.0019343430432896547]","[0.1384323320171585, -0.23021010302783507, -0.002826783107612944]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
25.png,"[-0.14800719049516642, -0.09896216211306758, 1.1231427844422217]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.15570023737160082, -0.09459315482825242, 1.122008901954831]","[3.092190059940454, -0.012397310284292182, 0.31331587058347105]",True,"[-0.007693046876434406, 0.004369007284815152, -0.0011338824873907694]","[-0.10406636702971818, -0.18048377770320004, -0.017627665508468133]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
26.png,"[-0.1482705288246871, -0.09984967075520718, 1.1356084565594535]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.1535567165211258, -0.10371510125476083, 1.135823269484653]","[-2.983999741962396, -0.004196420640743544, -0.2059821012412898]",True,"[-0.005286187696438682, -0.0038654304995536515, 0.00021481292519953676]","[0.07976803961296493, -0.11623484936363392, -0.002603868062799136]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
27.png,"[-0.14853386715420777, -0.10073717939734667, 1.1480741286766856]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.15097996735120303, -0.10563919503545911, 1.1462396197625582]","[-2.957277564097624, -0.0055582560224533475, -0.11511483940734261]",True,"[-0.00244610019699526, -0.0049020156381124474, -0.0018345089141273974]","[0.11112907632587418, -0.05634048431454269, 0.0007992503473342386]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
28.png,"[-0.14879720548372843, -0.10162468803948627, 1.1605398007939174]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.15124048615855842, -0.09551337666685007, 1.155618324544419]","[3.079380661456537, -0.017836071228016035, 0.1422399432679564]",True,"[-0.0024432806748299896, 0.006111311372636194, -0.004921476249498458]","[-0.1296468276567749, -0.07077083961631492, -0.01759210922052381]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
29.png,"[-0.14906054381324912, -0.10251219668162587, 1.1730054729111492]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.1465515694653574, -0.09943521713349335, 1.167891754818773]","[-3.1340343084657265, -0.0052834813198709765, 0.03285913516877841]",True,"[0.0025089743478917126, 0.003076979548132519, -0.005113718092376152]","[-0.0637194150747877, 0.042007413172971374, 0.002070694279693833]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
30.png,"[-0.12169734995810556, -0.09892613562758928, 1.1237011468962261]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.11808765596756454, -0.09502747008267741, 1.1166095467757908]","[3.1348157304176905, 0.008534962572844198, -0.06672819910372117]",True,"[0.0036096939905410214, 0.003898665544911875, -0.007091600120435304]","[-0.07719637072862973, 0.06351181413836932, 0.0047684005672801845]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
31.png,"[-0.12196068828762624, -0.09981364426972889, 1.136166819013458]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.13065247693872192, -0.09903449074292313, 1.1300731918830411]","[-3.0617510991438466, 0.0030805210762316934, -0.36292545904931733]",True,"[-0.008691788651095683, 0.0007791535268057564, -0.006093627130416834]","[-0.011898434590304947, -0.21443948424029982, -0.011864436725826315]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
32.png,"[-0.12222402661714692, -0.10070115291186849, 1.14863249113069]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.12321163015981915, -0.09408336051277971, 1.1396866804882868]","[3.071423186078894, -0.0166208198380729, 0.10103035648950806]",True,"[-0.0009876035426722302, 0.006617792399088773, -0.008945810642403185]","[-0.13929031851362578, -0.04426284052161248, -0.01599467963847421]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
33.png,"[-0.12248736494666759, -0.10158866155400798, 1.1610981632479218]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.11865056078784844, -0.09801924012421324, 1.1527562489646357]","[-3.135511388768087, -0.0037260436939212027, 0.07566331855983613]",True,"[0.0038368041588191515, 0.0035694214297947308, -0.008341914283286123]","[-0.06594487960657269, 0.06931304716519164, 0.0020220195959737446]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
34.png,"[-0.12275070327618827, -0.10247617019614758, 1.1735638353651536]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.11660099733148929, -0.1050513346257724, 1.1646758761916776]","[-2.9920170855031767, -0.021042614324943264, 0.15099594050946857]",True,"[0.006149705944698977, -0.0025751644296248266, -0.008887959173476068]","[0.07452715343759234, 0.12129958014895796, 0.017012032265230344]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
35.png,"[-0.09538750942104471, -0.098890109142111, 1.1242595093502306]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.09002275731625133, -0.09627339018388302, 1.1129667321812227]","[-3.105999317909465, -0.016825034631630695, 0.12069825126767941]",True,"[0.005364752104793383, 0.002616718958227973, -0.011292777169007895]","[-0.03799821560865405, 0.09843043377624112, 0.011811096372693678]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
36.png,"[-0.09565084775056538, -0.0997776177842506, 1.1367251814674626]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.10120043430118437, -0.10233770981996448, 1.1416735306041899]","[-3.0195181378748663, -0.001540191386967092, -0.20792319138458512]",True,"[-0.00554958655061899, -0.00256009203571389, 0.004948349136727259]","[0.044202517517951755, -0.11598967595741676, -0.004757251344880761]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
37.png,"[-0.09591418608008606, -0.10066512642639008, 1.1491908535846944]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.1036639437926078, -0.09935514040390445, 1.138747545838508]","[-3.0663057955995834, 0.004029048116504499, -0.33525949932173943]",True,"[-0.007749757712521732, 0.0013099860224856374, -0.010443307746186514]","[-0.01337733226701866, -0.19628118752920243, -0.011850795111802193]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
38.png,"[-0.09617752440960674, -0.10155263506852968, 1.1616565257019262]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.09469444613968618, -0.10091437151839423, 1.1587017226289151]","[-3.0834402862208727, -0.0056843536385935275, 0.012610590388372657]",True,"[0.001483078269920557, 0.0006382635501354511, -0.002954803073011103]","[-0.012971363501492835, 0.02925024477799528, 0.002467201510491862]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
39.png,"[-0.09644086273912741, -0.10244014371066928, 1.174122197819158]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",apriltag,"[-0.09271573124050601, -0.09849293053761243, 1.161717930588497]","[-3.1343501537035325, -0.007669152852039798, 0.06293654177542368]",True,"[0.0037251314986214007, 0.003947213173056852, -0.012404267230661015]","[-0.06453103372370692, 0.06112913684298349, 0.004264983082715584]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
