imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.28094017988658493, 0.04806405199485392, 1.1702099251372617]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.28017958933820963, 0.045989717988558436, 1.167463390333297]","[-3.0350370733083567, -0.00408515381381104, -0.027329543327352022]",True,"[0.000760590548375295, -0.002074334006295482, -0.0027465348039648063]","[0.03370171444292527, 8.818678628877046e-05, 0.004290882286239737]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
1.png,"[-0.2809636142541466, 0.010663112890028636, 1.1674861033906034]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2823401204070037, 0.00864998703242863, 1.1693358846479622]","[-3.0273669016079015, -0.0060713237964610004, -0.0608645308153768]",True,"[-0.00137650615285706, -0.002013125857600006, 0.0018497812573587957]","[0.04086587575847187, -0.022110638774059513, 0.004865743975913981]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
2.png,"[-0.28098704862170826, -0.0267378262147967, 1.1647622816439454]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2798647429748573, -0.028462266894305387, 1.1615053344293997]","[-3.0355374355357, -0.005122004120568433, -0.016651938568443242]",True,"[0.0011223056468509518, -0.0017244406795086861, -0.0032569472145456135]","[0.03327374505049219, 0.0070871397873519355, 0.005223813480516406]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
3.png,"[-0.28101048298926995, -0.06413876531962198, 1.1620384598972873]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.28753384717286207, -0.063566106806159, 1.1708743555558099]","[-3.096517032401879, 0.019138364695579536, -0.1761287276539193]",True,"[-0.0065233641835921174, 0.0005726585134629841, 0.008835895658522608]","[-0.0325350789477722, -0.09487103552295388, -0.014810588706730706]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
4.png,"[-0.28103391735683164, -0.10153970442444721, 1.1593146381506292]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.27963807463202245, -0.10320969950435833, 1.1549965187703624]","[-3.0293305836889366, -0.005325215881862767, -0.011845156083149917]",True,"[0.0013958427248091931, -0.0016699950799111268, -0.004318119380266827]","[0.03950282475160688, 0.010221037189066305, 0.0055350864504461516]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
5.png,"[-0.25462879540274974, 0.048012701040915706, 1.1706886580968496]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.25509553591156203, 0.048307263047548524, 1.1721818551307805]","[-3.0820985887325585, 0.0027504775270777325, -0.034742991574422254]",True,"[-0.0004667405088122911, 0.0002945620066328175, 0.0014931970339309153]","[-0.013389594199531023, -0.004248951030830463, -0.0007720417651673737]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
6.png,"[-0.25465222977031143, 0.010611761936090425, 1.1679648363501915]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2556033119815472, 0.008552931767147876, 1.1696475632270846]","[-3.025590089168586, -0.009527045131564832, -0.048094557019475875]",True,"[-0.0009510822112357431, -0.0020588301689425485, 0.0016827268768930814]","[0.0428421004372728, -0.013797758688085427, 0.007470494774989618]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
7.png,"[-0.2546756641378731, -0.026789177168734912, 1.1652410146035335]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2536953694796114, -0.028177249099214666, 1.1622318487274261]","[-3.0410441633445293, -0.004208489395386138, -0.017610519491064833]",True,"[0.0009802946582617156, -0.0013880719304797534, -0.0030091658761073337]","[0.02776853161136649, 0.00650424537045508, 0.004546236222381762]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
8.png,"[-0.25469909850543476, -0.06419011627356025, 1.1625171928568754]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.2550886775122187, -0.06579513588845563, 1.1635629635198215]","[-3.0456969406260197, -0.0014187079974215826, -0.03219653420971339]",True,"[-0.00038957900678393553, -0.0016050196148953838, 0.0010457706629460883]","[0.023012652379883508, -0.0029680489671582303, 0.0023232786991744725]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
9.png,"[-0.25472253287299645, -0.10159105537838548, 1.1597933711102173]","[-3.0687735308584325, 0.0019792631036102005, -0.028024557188418033]",apriltag,"[-0.25337842164696484, -0.10340471485613273, 1.1557194511884066]","[-3.024816301944108, -0.0056215801808209296, -0.009695894253317773]",True,"[0.001344111226031619, -0.0018136594777472537, -0.00407391992181072]","[0.0440229874888501, 0.011615833342318522, 0.0058276699844996074]","{'nthreads': 1, 'quad_decimate': 1.0, 'quad_sigma': 0.0, 'refine_edges': 1, 'parser': 'simple'}"
