imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2820388552157448, -0.14797644550079309, 1.2095654824979098]","[2.167016867316988, -0.012559493034352274, 0.018592296971959393]",aruco,"[-0.2869061276533238, -0.15139143399325403, 1.2258561801153298]","[2.1622331671291675, -0.01647486073815544, 0.026880177324971048]",True,"[-0.004867272437579007, -0.003414988492460941, 0.01629069761741997]","[-0.0047237321295237385, -0.0074864608598669774, 0.00029860385328202787]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.281665192679071, -0.13173290154345568, 1.1907711692761418]","[2.3997161699705645, -0.010830896401934685, 0.020918861562528198]",aruco,"[-0.2827630283339953, -0.13241905926995629, 1.1917256770300153]","[2.385142671838518, -0.019448499736586126, 0.02541201146322164]",True,"[-0.0010978356549243284, -0.0006861577265006025, 0.0009545077538735125]","[-0.014462137777875318, -0.0057421673771392645, -0.00512757311693386]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.28136129167788726, -0.11159209538074105, 1.176229019340158]","[2.6324139566120532, -0.008799033979043568, 0.023277941795289653]",aruco,"[-0.28681696253989714, -0.11459269428708799, 1.1932637595657238]","[2.641721254267902, -0.011410270589039467, 0.038752435032817896]",True,"[-0.005455670862009876, -0.003000598906346935, 0.017034740225565725]","[0.0094425949441794, -0.011434211462084811, 0.0010949881797676355]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2811435355938293, -0.08863982308613455, 1.166723003757103]","[2.8651097871871114, -0.006420277659332419, 0.025674213359267596]",aruco,"[-0.28553616620112693, -0.09207678724618157, 1.1816924389007188]","[2.8961020490062612, -0.0034878112849720862, 0.030530036645322604]",True,"[-0.00439263060729761, -0.003436964160047018, 0.014969435143615817]","[0.031002797784062015, -0.00289384823180335, 0.002748005714387547]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.28102366371375265, -0.06411344760001259, 1.1627655942875994]","[3.0978030607194094, -0.0036379664728067437, 0.028113748423731818]",aruco,"[-0.2845215648600004, -0.066838931249989, 1.1758213783932656]","[3.1255966251122445, 0.0005982049724140065, 0.026075338330709852]",True,"[-0.0034979011462477616, -0.0027254836499764207, 0.013055784105666213]","[0.027748776960428993, 0.0014922820176346318, 0.0029507070242751577]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.28100813836173993, -0.03933519217324777, 1.1645701359004854]","[-2.952427067309148, 0.00033457058626348173, -0.027130429360717766]",aruco,"[-0.28423617401271845, -0.04043250712525568, 1.1758098522765998]","[-2.952953958831918, -0.00469516741532573, -0.025526765656940505]",True,"[-0.0032280356509785113, -0.001097314952007912, 0.011239716376114428]","[-0.0005478410861015676, 0.0007596388310478922, 0.003473696612319095]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.28109779651353684, -0.015640858969509286, 1.172039345290322]","[-2.719732115021991, -0.0026422414962577025, -0.02530862715314684]",aruco,"[-0.28443111592097287, -0.016520961468756878, 1.1825201459226564]","[-2.713127107782963, -0.003363993512977262, -0.03947457233001993]",True,"[-0.0033333194074360306, -0.0008801024992475918, 0.010480800632334475]","[0.006465216835907178, -0.010123442124404332, -0.0015719476184127246]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.28128780467497266, 0.005692184375139797, 1.1847705554455707]","[-2.4870350034882485, -0.005252655398453432, -0.02344750363467968]",aruco,"[-0.28553504419385134, 0.005323515174865876, 1.2012591160142612]","[-2.483538749684213, -0.001719325257311185, -0.020202010117764572]",True,"[-0.004247239518878676, -0.000368669200273921, 0.016488560568690414]","[0.00354037845585706, 0.0031893253439464007, -0.0017242979883346087]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2815679194568828, 0.023513867972136948, 1.202077423531411]","[-2.254336226005753, -0.007544721001599331, -0.02155221738101618]",aruco,"[-0.2866520967168823, 0.023761692074026855, 1.2226423084575455]","[-2.253356313256927, -0.012518466333629508, -0.01894171252316485]",True,"[-0.0050841772599994894, 0.0002478241018899069, 0.02056488492613462]","[0.0009399658703843838, 0.00017424323152853731, 0.004506651193208607]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.28192303979886946, 0.036863420245797085, 1.2230269318096192]","[-2.021636148981584, -0.009555716907794465, -0.01962677042661075]",aruco,"[-0.2853087648803909, 0.03692548440268543, 1.2370428909941613]","[-2.012686590256133, -0.015996391507188568, -0.01885021058115539]",True,"[-0.0033857250815214623, 6.206415688834316e-05, 0.014015959184542126]","[0.008883364729384696, -0.0023579386826121343, 0.0050055376645288426]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
