imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[0.002013126436268952, 3.1212773635927946, 0.11349837916541859]",aruco,"[-0.28538097946709085, -0.05467154256581822, 1.1748193186983982]","[-0.003377005038498146, 3.099759640241425, 0.17886542077362774]",True,"[-0.004378307933674774, -0.002999756947804723, 0.01187291821889147]","[0.0425327627285942, -0.018583944062760063, 0.003178978257427417]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[-1.073005819593132, -2.9421535995641084, -0.1167915951918939]",aruco,"[-0.28463204333014236, -0.053348602305229614, 1.1737614674983041]","[-1.067906158763579, -2.9507148510904546, -0.14379996051972954]",True,"[-0.0036293717967262884, -0.001676816687216115, 0.01081506701879742]","[0.01341828400009693, -0.012979949483052535, 0.004572357260846619]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[-1.9987348673259293, -2.378881824306817, -0.10478840460866541]",aruco,"[-0.28365116537057417, -0.05311649010232035, 1.1736425456420665]","[-1.9903596591515624, -2.3699739914321634, -0.10547916624285701]",True,"[-0.0026484938371580946, -0.0014447044843068496, 0.01069614516255979]","[0.008369798812587892, 0.008844646583114912, 0.000838908300221233]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[-2.674175877525079, -1.54163733885096, -0.08053287589222263]",aruco,"[-0.28265273932330265, -0.05445419428030234, 1.1710864362045958]","[-2.6247306025525274, -1.5335438158943338, -0.08216126948474248]",True,"[-0.0016500677898865779, -0.002782408662288842, 0.008140035725089145]","[0.04133423309790605, 0.02130741881094243, 0.012777535192312221]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[-3.026478724592773, -0.5316374107361862, -0.04703796653393182]",aruco,"[-0.28182641516981605, -0.05242023600002126, 1.1703591518474732]","[-3.030390343239736, -0.5300728302124839, 0.0029497409827864128]",True,"[-0.0008237436363999762, -0.0007484503820077634, 0.007412751367966486]","[-0.008791919003206595, 0.031497662977475145, -0.0003774284818515198]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[-3.0198884065577967, 0.534496324336233, -0.008216317761106175]",aruco,"[-0.28283661079965544, -0.05353458815583112, 1.1727416208773869]","[-3.0145775365814718, 0.5320370246819346, 0.027988194231379153]",True,"[-0.0018339392662393705, -0.0018628025378176205, 0.009795220397880167]","[0.00956458998181173, 0.022245114066485543, 0.0018736625087384898]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[-2.6571458855675734, 1.536389778344748, 0.031530547362882806]",aruco,"[-0.28267690589400424, -0.05194008267026822, 1.1742026254047266]","[-2.683561340895739, 1.5610396880305162, 0.06904908205281866]",True,"[-0.001674234360588167, -0.00026829705225472206, 0.011256224925219938]","[-0.01898169608246294, 0.038814618059480846, -0.00399361849144006]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[-1.978355692568244, 2.3608030984867177, 0.06771839785330407]",aruco,"[-0.2829933352994308, -0.05412214605046427, 1.1719694905830231]","[-1.9745339704957332, 2.3444927709217285, 0.11602204832929917]",True,"[-0.0019906637660147553, -0.0024503604324507683, 0.009023090103516429]","[0.0329115258510795, 0.009796594038239062, 0.005578493592249748]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[-1.0577312534107117, 2.9119349952011704, 0.09618472670715462]",aruco,"[-0.2841308044228677, -0.05450791689864436, 1.1707384284405467]","[-1.049837114959054, 2.8836480521666172, 0.15044393484123783]",True,"[-0.003128132889451629, -0.0028361312806308575, 0.007792027961039949]","[0.04295388604672236, -0.01328590312075654, 0.0013671491050554585]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.28100267153341607, -0.0516717856180135, 1.1629464004795067]","[0.00201312643626857, 3.1212773635927946, 0.11349837916541859]",aruco,"[-0.28538097946709085, -0.05467154256581822, 1.1748193186983982]","[-0.003377005038498146, 3.099759640241425, 0.17886542077362774]",True,"[-0.004378307933674774, -0.002999756947804723, 0.01187291821889147]","[0.04253276272859421, -0.01858394406276005, 0.0031789782574271723]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
