imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2795563931804707, -0.09914229454045903, 1.1203509721721991]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.2820387503589459, -0.10204747810942022, 1.1301174148850632]","[-3.040674882048294, -0.002435997180092991, -0.0150148849776929]",True,"[-0.0024823571784751697, -0.0029051835689611893, 0.009766442712864087]","[0.029826598534450424, 0.011323862231792459, 0.0001964461636345471]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.2798197315099914, -0.10002980318259863, 1.1328166442894312]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.2832228247580682, -0.10210514401125809, 1.1421942545217234]","[-3.054592272188382, -0.0019336345849426094, -0.05058426870470542]",True,"[-0.003403093248076805, -0.0020753408286594555, 0.009377610232292222]","[0.015565615297985278, -0.01188087038925467, -0.0011150816056633137]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.28008306983951203, -0.10091731182473823, 1.145282316406663]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.28228747076088945, -0.1039734085288237, 1.154372875407304]","[-3.03712946141365, -0.01949660833456071, -0.01360030018829094]",True,"[-0.002204400921377414, -0.0030560967040854647, 0.00909055900064093]","[0.03319865218289445, 0.011846141870750617, 0.011479902776985589]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.2803464081690327, -0.10180482046687772, 1.1577479885238948]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.28264804798064147, -0.10317285594447319, 1.1669851956084878]","[-3.0808284908978942, -0.0023829313401704266, -0.013441546531153233]",True,"[-0.0023016398116087466, -0.0013680354775954667, 0.009237207084592969]","[-0.010317993732102845, 0.012440821587076987, -0.00024304505303260018]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2806097464985534, -0.10269232910901732, 1.1702136606411266]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.2830428884230504, -0.10395590071016479, 1.1799099835187934]","[-3.0799237163528996, -0.00234202534108335, -0.013390582092657251]",True,"[-0.0024331419244970065, -0.0012635716011474701, 0.009696322877666752]","[-0.009412781970410919, 0.012473024555449028, -0.0002584578176989895]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.25324655264340984, -0.09910626805498074, 1.1209093346262038]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.25644489955389455, -0.10163192889583428, 1.1302242069681112]","[-3.0486053675556395, -0.0015604388651356024, -0.05317067567077644]",True,"[-0.003198346910484706, -0.0025256608408535386, 0.00931487234190742]","[0.021513125239432745, -0.013622843057545084, -0.0013563762943769033]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.25350989097293053, -0.09999377669712034, 1.1333750067434356]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.25653335324294213, -0.10239940876505027, 1.1422583073562806]","[-3.0466533794124433, -0.0015631279059998158, -0.05385012305064034]",True,"[-0.003023462270011601, -0.0024056320679299303, 0.008883300612845035]","[0.023453562089425284, -0.014087726237045343, -0.0013499651548015876]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.25377322930245116, -0.10088128533925983, 1.1458406788606674]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.25728575859724884, -0.10607397719441583, 1.1580011583376935]","[-3.0000172445609103, -0.0273053331087784, -0.029011652477061486]",True,"[-0.0035125292947976727, -0.005192691855156001, 0.012160479477026032]","[0.07009626178814479, 0.0013298235446861334, 0.016839774354383455]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.25403656763197185, -0.10176879398139943, 1.1583063509778992]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.25944570433114134, -0.10486804965033023, 1.1746289684385696]","[-3.0513879209559303, -0.00801242218639754, -0.07038931754691337]",True,"[-0.005409136699169481, -0.003099255668930795, 0.01632261746067032]","[0.018348395165066752, -0.02500811917976572, 0.0024312023325600823]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.25429990596149255, -0.10265630262353903, 1.1707720230951313]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.25618628734985954, -0.10408292955105397, 1.1801203533773583]","[-3.076185962234502, -0.0018617598388283524, -0.013457766497702611]",True,"[-0.0018863813883669978, -0.0014266269275149401, 0.009348330282227035]","[-0.005671875551752009, 0.012433059636060093, -0.0005308282617247145]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
