imageName,realT,realR
0.png,"[-0.2795563931804707, -0.09914229454045903, 1.1203509721721991]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
1.png,"[-0.2798197315099914, -0.10002980318259863, 1.1328166442894312]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
2.png,"[-0.28008306983951203, -0.10091731182473823, 1.145282316406663]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
3.png,"[-0.2803464081690327, -0.10180482046687772, 1.1577479885238948]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
4.png,"[-0.2806097464985534, -0.10269232910901732, 1.1702136606411266]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
5.png,"[-0.25324655264340984, -0.09910626805498074, 1.1209093346262038]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
6.png,"[-0.25350989097293053, -0.09999377669712034, 1.1333750067434356]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
7.png,"[-0.25377322930245116, -0.10088128533925983, 1.1458406788606674]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
8.png,"[-0.25403656763197185, -0.10176879398139943, 1.1583063509778992]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
9.png,"[-0.25429990596149255, -0.10265630262353903, 1.1707720230951313]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
10.png,"[-0.22693671210634897, -0.09907024156950245, 1.1214676970802082]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
11.png,"[-0.22720005043586966, -0.09995775021164205, 1.13393336919744]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
12.png,"[-0.22746338876539035, -0.10084525885378165, 1.1463990413146719]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
13.png,"[-0.22772672709491104, -0.10173276749592114, 1.158864713431904]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
14.png,"[-0.22799006542443173, -0.10262027613806074, 1.1713303855491357]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
15.png,"[-0.2006268715692881, -0.09903421508402416, 1.1220260595342126]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
16.png,"[-0.2008902098988088, -0.09992172372616376, 1.1344917316514445]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
17.png,"[-0.20115354822832948, -0.10080923236830325, 1.1469574037686765]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
18.png,"[-0.20141688655785017, -0.10169674101044285, 1.1594230758859083]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
19.png,"[-0.20168022488737086, -0.10258424965258245, 1.1718887480031401]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
20.png,"[-0.1743170310322273, -0.09899818859854587, 1.122584421988217]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
21.png,"[-0.17458036936174798, -0.09988569724068547, 1.1350500941054489]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
22.png,"[-0.1748437076912686, -0.10077320588282507, 1.147515766222681]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
23.png,"[-0.1751070460207893, -0.10166071452496456, 1.159981438339913]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
24.png,"[-0.17537038435031, -0.10254822316710416, 1.1724471104571448]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
25.png,"[-0.14800719049516642, -0.09896216211306758, 1.1231427844422217]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
26.png,"[-0.1482705288246871, -0.09984967075520718, 1.1356084565594535]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
27.png,"[-0.14853386715420777, -0.10073717939734667, 1.1480741286766856]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
28.png,"[-0.14879720548372843, -0.10162468803948627, 1.1605398007939174]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
29.png,"[-0.14906054381324912, -0.10251219668162587, 1.1730054729111492]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
30.png,"[-0.12169734995810556, -0.09892613562758928, 1.1237011468962261]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
31.png,"[-0.12196068828762624, -0.09981364426972889, 1.136166819013458]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
32.png,"[-0.12222402661714692, -0.10070115291186849, 1.14863249113069]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
33.png,"[-0.12248736494666759, -0.10158866155400798, 1.1610981632479218]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
34.png,"[-0.12275070327618827, -0.10247617019614758, 1.1735638353651536]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
35.png,"[-0.09538750942104471, -0.098890109142111, 1.1242595093502306]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
36.png,"[-0.09565084775056538, -0.0997776177842506, 1.1367251814674626]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]"
