imageName,realT,realR,method,detectedT,detectedR,isSuccess,errorT,errorR,detectionSettings
0.png,"[-0.2804084930193548, 0.04905899065748587, 1.1509394175648962]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.2854810391295572, 0.04775373899703844, 1.1679234014367381]","[-3.0378697211338808, -0.00802136205712659, -0.049802535344559556]",True,"[-0.005072546110202414, -0.0013052516604474262, 0.016983983871841968]","[0.03224522035958521, -0.011669519691437886, 0.0030805862687493914]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
1.png,"[-0.28030080339144203, 0.011653665901143861, 1.1482785750636146]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.2826856457097185, 0.009113483723748199, 1.1572554243827664]","[-3.0329218330709176, -0.003888028098519006, -0.022981915822710457]",True,"[-0.002384842318276459, -0.0025401821773956626, 0.00897684931915177]","[0.03752423745264642, 0.006027961693279411, 0.0010503617109723436]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
2.png,"[-0.2801931137635293, -0.0257516588551982, 1.1456177325623331]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.28596179759811713, -0.026713437045656846, 1.1637750200267003]","[-3.0747770829775485, -0.0034967291695393614, -0.0645995669701493]",True,"[-0.00576868383458784, -0.0009617781904586453, 0.018157287464367178]","[-0.004874567533587349, -0.020828142860716065, -0.0006406719918024659]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
3.png,"[-0.28008542413561655, -0.06315698361154026, 1.1429568900610516]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.2823934261627463, -0.06401989466952918, 1.1531186824135755]","[-3.0821427669702173, -0.0028796721649087553, -0.004141539563903226]",True,"[-0.002308002027129774, -0.0008629110579889132, 0.010161792352523902]","[-0.011616586327395534, 0.018460275886754644, 0.00027898245850605376]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
4.png,"[-0.2799777345077038, -0.10056230836788232, 1.14029604755977]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.28249528090079906, -0.10250325364362615, 1.1475072461880107]","[-3.0609600284794176, -0.009560036182471816, -0.040441747136658324]",True,"[-0.00251754639309526, -0.00194094527574383, 0.0072111986282406]","[0.009272547495778116, -0.005380821214616649, 0.004028815123044511]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
5.png,"[-0.2540986524822939, 0.04909501714296416, 1.1514977800189006]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.25923421420776255, 0.04925125067063928, 1.172218084277152]","[-3.0668275183941236, -0.005173054687735981, -0.035923221658452895]",True,"[-0.00513556172546864, 0.00015623352767511756, 0.020720304258251332]","[0.003498312539377358, -0.002292815023269239, 0.0012055670773588652]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
6.png,"[-0.25399096285438116, 0.011689692386622152, 1.148836937517619]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.25895401584538114, 0.009426438897226228, 1.1640692073263217]","[-3.031802468692581, -0.015108582934406927, -0.07373988215708746]",True,"[-0.004963052990999972, -0.0022632534893959246, 0.015232269808702625]","[0.037777167315577675, -0.027645230771506445, 0.0072512412622379365]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
7.png,"[-0.2538832732264684, -0.02571563236971991, 1.1461760950163375]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.2594403898631142, -0.02692261365757718, 1.1634424806241983]","[-3.068655508104763, -0.0033433037665828924, -0.06665972048881702]",True,"[-0.005557116636645765, -0.001206981287857272, 0.017266385607860757]","[0.0012051340661806736, -0.022240145740684947, -0.0007221972887462594]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
8.png,"[-0.2537755835985557, -0.06312095712606197, 1.1435152525150563]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.25621697429016355, -0.06558838176144899, 1.1520694117583814]","[-3.0437087228543573, -0.003310880524872718, -0.035346110598261725]",True,"[-0.00244139069160787, -0.0024674246353870166, 0.008554159243325143]","[0.026635829865094853, -0.002023810925180582, 0.0002612558460333683]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
9.png,"[-0.25366789397064293, -0.10052628188240403, 1.1408544100137747]","[-3.07037689255103, -0.0032596392712196977, -0.03250226455336116]",aruco,"[-0.25208476717551836, -0.1012128626386303, 1.1424681996681247]","[-3.0738696535983636, -0.005788892328617533, 0.05422426086569797]",True,"[0.0015831267951245676, -0.0006865807562262682, 0.0016137896543499952]","[-0.003873052291049564, 0.0563179074937676, 0.003604595883042808]","{'aruco3': False, 'cornerRefinementMinAccuracy ': 0.1, 'parser': 'simple'}"
